동물종류,나이그룹,성별,중성화 여부,시도,총건수,입양건수,평균체중,입양률
개,11세 이상,미상,미상,강원특별자치도,3,0,9.5,0.0
개,11세 이상,미상,미상,경기도,3,0,3.5,0.0
개,11세 이상,미상,미상,경상남도,2,2,3.0,100.0
개,11세 이상,미상,미상,경상북도,1,0,15.0,0.0
개,11세 이상,미상,미상,대구광역시,1,0,3.0,0.0
개,11세 이상,미상,미상,대전광역시,2,0,6.5,0.0
개,11세 이상,미상,미상,부산광역시,4,0,8.25,0.0
개,11세 이상,미상,미상,울산광역시,1,0,2.7,0.0
개,11세 이상,미상,미상,인천광역시,1,0,5.0,0.0
개,11세 이상,미상,미상,충청남도,3,0,15.0,0.0
개,11세 이상,미상,중성화 X,경기도,1,0,15.0,0.0
개,11세 이상,미상,중성화 X,경상남도,1,1,7.0,100.0
개,11세 이상,미상,중성화 X,경상북도,1,0,3.0,0.0
개,11세 이상,미상,중성화 X,전라남도,1,0,5.0,0.0
개,11세 이상,수컷,미상,강원특별자치도,49,2,5.502040816326531,4.08
개,11세 이상,수컷,미상,경기도,40,1,6.715897435897436,2.5
개,11세 이상,수컷,미상,경상남도,42,9,6.300000000000001,21.43
개,11세 이상,수컷,미상,경상북도,23,2,11.208695652173914,8.7
개,11세 이상,수컷,미상,광주광역시,4,1,4.725,25.0
개,11세 이상,수컷,미상,대구광역시,6,0,4.5,0.0
개,11세 이상,수컷,미상,대전광역시,47,3,7.647826086956522,6.38
개,11세 이상,수컷,미상,부산광역시,60,5,6.985,8.33
개,11세 이상,수컷,미상,서울특별시,7,0,5.1000000000000005,0.0
개,11세 이상,수컷,미상,세종특별자치시,8,0,4.49,0.0
개,11세 이상,수컷,미상,울산광역시,2,0,9.89,0.0
개,11세 이상,수컷,미상,인천광역시,40,3,4.225,7.5
개,11세 이상,수컷,미상,전라남도,16,1,6.38125,6.25
개,11세 이상,수컷,미상,전북특별자치도,9,1,6.166666666666667,11.11
개,11세 이상,수컷,미상,제주특별자치도,3,0,8.766666666666667,0.0
개,11세 이상,수컷,미상,충청남도,34,7,5.9547058823529415,20.59
개,11세 이상,수컷,미상,충청북도,16,1,12.28125,6.25
개,11세 이상,수컷,중성화 O,강원특별자치도,30,2,5.306666666666667,6.67
개,11세 이상,수컷,중성화 O,경기도,384,31,5.248608923884515,8.07
