품종,동물종류,총건수,입양건수,평균체중,평균나이,입양률
믹스견,개,420511,116441,6.406882312832726,1.318565230215896,27.69
한국 고양이,고양이,177421,54868,1.0940390384115835,0.42332284583375623,30.93
말티즈,개,23808,8600,3.567706641988811,5.083280783621306,36.12
푸들,개,23657,9518,4.588982763731843,4.18923721284427,40.23
진도견,개,14445,4635,13.321530520335342,2.1351894175496917,32.09
믹스묘,고양이,13723,4925,1.3456866809802324,0.6296728971962616,35.89
포메라니안,개,11631,4882,3.841547137322428,4.124343408249375,41.97
기타,기타,11115,3474,4.0183340853713565,1.2813034476550544,31.26
기타축종,기타축종,10519,6616,3.4013939101014983,0.7202397944618898,62.9
시츄,개,6344,2271,4.975797284496369,5.336332070707071,35.8
라브라도 리트리버,개,5161,1580,25.12667703674898,2.8850106651153773,30.61
치와와,개,4467,2065,3.3064133602331314,4.321988356471115,46.23
스피츠,개,4307,1595,6.466056239832675,3.516496282527881,37.03
골든 리트리버,개,4195,1333,25.356535885167467,3.4581245526127415,31.78
요크셔 테리어,개,4001,1184,3.479589692269202,6.4390793094821115,29.59
비숑 프리제,개,3813,1627,5.3328218602207045,3.118621778011573,42.67
시바,개,3188,967,9.272327044025158,2.6207113629209946,30.33
프렌치 불독,개,2940,1105,9.27873932353946,3.184452778724855,37.59
웰시 코기 펨브로크,개,2940,1227,10.021434916296549,3.031324480762683,41.73
시베리안 허스키,개,2568,771,19.58723612197029,2.581223217763927,30.02
보더 콜리,개,2442,858,15.603136531365315,2.6150061500615007,35.14
스탠다드 닥스훈트,개,2350,1086,5.755521498510004,3.822127659574468,46.21
코카 스파니엘,개,1578,619,8.723430749682338,4.85859226379201,39.23
페르시안,고양이,1397,846,3.314382183908046,2.8853046594982077,60.56
미니어쳐 핀셔,개,1383,460,4.366128798842257,4.992046276211135,33.26
터키시 앙고라,고양이,1353,870,3.087692307692308,1.9371766444937177,64.3
페르시안-페르시안 친칠라,고양이,1339,893,3.198805078416729,2.451829723674384,66.69
러시안 블루,고양이,1292,834,3.3644349845201242,2.2461300309597525,64.55
슈나우져,개,1131,320,6.613897254207263,5.768821966341895,28.29
보스턴 테리어,개,1117,410,7.3117937219730935,3.2023276633840645,36.71
비글,개,1106,433,10.043677536231883,3.602169981916817,39.15
셰퍼드,개,966,296,25.351523316062178,3.1865284974093266,30.64
스코티시폴드,고양이,897,648,3.117841163310962,2.135044642857143,72.24
웰시 코기 카디건,개,890,333,9.822013498312712,3.141732283464567,37.42
사모예드,개,873,247,19.966493656286044,2.861397479954181,28.29
포인터,개,860,249,16.954714119019837,2.587892898719441,28.95
샴,고양이,805,527,3.317960199004975,2.532919254658385,65.47
퍼그,개,750,464,6.975986666666667,3.5220293724966623,61.87
말라뮤트,개,723,189,27.818008356545963,3.3706777316735823,26.14
삽살개,개,711,216,17.371884669479606,3.195774647887324,30.38
불독,개,709,264,14.682722143864597,3.7291960507757405,37.24
풍산견,개,703,260,16.476433666191156,2.3547008547008548,36.98
아메리칸 쇼트헤어,고양이,628,382,2.970862619808307,1.714968152866242,60.83
페키니즈,기타,557,253,5.342140287769785,5.077477477477477,45.42
도사,개,521,68,30.486948176583496,2.1634615384615383,13.05
차우차우,개,474,121,20.026279069767444,3.5928270042194095,25.53
그레이 하운드,개,454,222,16.900638766519826,2.94273127753304,48.9
도베르만,개,425,172,21.885117924528306,2.6282352941176472,40.47
이탈리안 그레이 하운드,개,396,219,5.3277215189873415,2.797979797979798,55.3
토이 푸들,개,384,185,3.8313910761154855,3.7291666666666665,48.18
스탠다드 푸들,개,380,131,17.908439153439154,3.3350923482849604,34.47
레그돌,고양이,375,248,3.5371390374331555,2.3653333333333335,66.13
라이카,개,366,129,18.470383561643835,2.2814207650273226,35.25
브리티시 쇼트헤어,고양이,322,228,3.492884012539185,2.1956521739130435,70.81
벵갈,고양이,318,211,3.7294654088050314,2.110062893081761,66.35
핏불테리어,개,317,85,19.184281150159745,2.6246056782334386,26.81
그레이트 피레니즈,기타,305,77,35.1672131147541,3.7081967213114755,25.25
미니어쳐 푸들,개,288,103,4.3478125,4.319444444444445,35.76
