접수년도,접수월,종료사유_정제,건수
2019,1,기증,153
2019,1,기타,1
2019,1,미포획,16
2019,1,반환,1141
2019,1,방사,54
2019,1,안락사,2536
2019,1,입양,3120
2019,1,자연사,2156
2019,2,기증,123
2019,2,미포획,15
2019,2,반환,1064
2019,2,방사,36
2019,2,안락사,2273
2019,2,입양,2633
2019,2,자연사,1739
2019,3,기증,173
2019,3,미포획,9
2019,3,반환,1280
2019,3,방사,63
2019,3,안락사,2699
2019,3,입양,3011
2019,3,자연사,2043
2019,4,기증,253
2019,4,미포획,6
2019,4,반환,1387
2019,4,방사,86
2019,4,안락사,2869
2019,4,입양,3657
2019,4,자연사,2830
2019,5,기증,274
2019,5,미포획,34
2019,5,반환,1521
2019,5,방사,102
2019,5,안락사,2643
2019,5,입양,3946
2019,5,자연사,3844
2019,6,기증,256
2019,6,기타,1
2019,6,미포획,15
2019,6,반환,1410
2019,6,방사,150
2019,6,안락사,2720
2019,6,입양,3461
2019,6,자연사,3981
2019,7,기증,265
2019,7,기타,2
2019,7,미포획,18
2019,7,반환,1653
2019,7,방사,166
2019,7,안락사,3668
2019,7,입양,3953
2019,7,자연사,4790
2019,8,기증,219
2019,8,기타,2
2019,8,미포획,15
2019,8,반환,1644
2019,8,방사,117
2019,8,안락사,3406
2019,8,입양,3616
2019,8,자연사,4013
2019,9,기증,201
2019,9,미포획,11
2019,9,반환,1538
2019,9,방사,137
2019,9,안락사,3244
2019,9,입양,3555
2019,9,자연사,4180
2019,10,기증,164
2019,10,미포획,9
2019,10,반환,1457
2019,10,방사,88
2019,10,안락사,3152
2019,10,입양,3670
2019,10,자연사,4124
2019,11,기증,143
2019,11,기타,1
2019,11,미포획,6
2019,11,반환,1274
2019,11,방사,76
2019,11,안락사,2587
2019,11,입양,3020
2019,11,자연사,2704
2019,12,기증,130
2019,12,미포획,8
2019,12,반환,1099
2019,12,방사,46
2019,12,안락사,2499
2019,12,입양,2676
2019,12,자연사,2299
2020,1,기증,168
2020,1,반환,1194
2020,1,방사,60
2020,1,안락사,2955
2020,1,입양,3057
2020,1,자연사,2427
2020,2,기증,145
2020,2,기타,1
2020,2,반환,999
2020,2,방사,75
2020,2,안락사,2905
2020,2,입양,2943
2020,2,자연사,1968
2020,3,기증,153
2020,3,반환,1207
2020,3,방사,96
2020,3,안락사,3025
2020,3,입양,3469
2020,3,자연사,2101
2020,4,기증,133
2020,4,반환,1138
2020,4,방사,105
2020,4,안락사,2530
2020,4,입양,3762
2020,4,자연사,2293
2020,5,기증,231
2020,5,반환,1411
2020,5,방사,165
2020,5,안락사,2467
2020,5,입양,4768
2020,5,자연사,3530
2020,6,기증,222
2020,6,반환,1400
2020,6,방사,250
2020,6,안락사,2537
2020,6,입양,4018
2020,6,자연사,4225
2020,7,기증,230
2020,7,반환,1488
2020,7,방사,226
