시도,접수년도,총건수,입양건수,안락사건수,자연사건수,반환건수,개_건수,고양이_건수,입양률,안락사율
강원특별자치도,2019,6153,1904,1300,1806,1013,4935,840,30.94,21.13
강원특별자치도,2020,5478,1853,1262,1412,880,4287,891,33.83,23.04
강원특별자치도,2021,5480,1837,1147,1531,901,4147,1178,33.52,20.93
강원특별자치도,2022,5491,1643,1189,1721,824,4128,1251,29.92,21.65
강원특별자치도,2023,5655,1438,1481,1774,808,4149,1437,25.43,26.19
강원특별자치도,2024,4861,1304,1113,1570,745,3579,1223,26.83,22.9
강원특별자치도,2025,3088,1068,496,836,623,2417,630,34.59,16.06
경기도,2019,27929,8870,7686,5716,4161,21030,6193,31.76,27.52
경기도,2020,26928,9456,6777,5459,3629,20032,6165,35.12,25.17
경기도,2021,23790,8075,5585,5185,3443,17767,5440,33.94,23.48
경기도,2022,21172,6282,5291,4481,3403,15651,4953,29.67,24.99
경기도,2023,21653,5254,6334,4965,3208,16188,4880,24.26,29.25
경기도,2024,20702,4558,5960,5084,2816,15527,4689,22.02,28.79
경기도,2025,18067,4849,4521,4184,2541,12686,4853,26.84,25.02
경상남도,2019,14115,3633,3859,5185,1077,12741,633,25.74,27.34
경상남도,2020,13655,4121,3346,4858,1028,11820,1329,30.18,24.5
경상남도,2021,11927,4005,2582,4132,1019,10213,1501,33.58,21.65
경상남도,2022,12179,3208,3175,4041,1199,10031,2075,26.34,26.07
경상남도,2023,10986,2869,3107,3041,1030,9390,1532,26.12,28.28
경상남도,2024,8952,2671,2272,2350,868,7777,1083,29.84,25.38
경상남도,2025,6755,2164,1377,1706,731,5650,1016,32.04,20.38
경상북도,2019,8973,3136,2825,2207,752,7953,874,34.95,31.48
경상북도,2020,9551,4098,2319,2294,751,8165,1270,42.91,24.28
경상북도,2021,9116,4230,2100,1834,812,7710,1294,46.4,23.04
경상북도,2022,9082,3823,1978,2193,834,7710,1263,42.09,21.78
경상북도,2023,8326,3239,2211,1707,950,7083,1108,38.9,26.56
경상북도,2024,8387,3279,2427,1654,879,7115,1053,39.1,28.94
경상북도,2025,7156,3136,1843,1304,721,6013,980,43.82,25.75
광주광역시,2019,3827,1100,350,1778,581,2123,1595,28.74,9.15
광주광역시,2020,3549,975,354,1684,513,1746,1701,27.47,9.97
광주광역시,2021,3265,813,312,1641,459,1503,1663,24.9,9.56
광주광역시,2022,3125,740,293,1545,464,1345,1679,23.68,9.38
광주광역시,2023,3036,675,359,1458,436,1395,1578,22.23,11.82
광주광역시,2024,2476,603,361,1005,324,1159,1251,24.35,14.58
