보호소명,시도,시군구,총보호건수,입양건수,자연사건수,안락사건수,반환건수,평균보호기간,개비율,고양이비율,입양률,안락사율,자연사율
제주 동물보호센터,제주특별자치도,제주특별자치도,34673,5167,6478,19506,1940,10.56470452513483,87.48594006864131,12.228535171459061,14.9,56.26,18.68
평택시유기동물보호소,경기도,평택시,14827,4425,3080,4915,1359,10.13724961219397,78.53915154785189,18.82376745127133,29.84,33.15,20.77
밀양시 동물보호센터,경상남도,밀양시,12385,3889,4024,3150,440,10.567622123536536,85.72466693580945,13.87969317723052,31.4,25.43,32.49
익산유기동물보호소,전북특별자치도,익산시,11094,5822,3297,725,828,10.706598161168198,72.70596718947179,26.032089417703265,52.48,6.54,29.72
화성동물보호센터,경기도,화성시,10391,2222,3504,3040,915,9.284284476951207,86.25733808103166,12.472331825618324,21.38,29.26,33.72
군산유기동물보호센터,전북특별자치도,군산시,9939,3786,3436,1626,836,11.912566656605293,66.304457188852,30.264614146292384,38.09,16.36,34.57
반려동물보호센터,충청북도,청주시,9865,4613,1151,1439,2047,10.543233654333502,67.09579320831222,27.551951343132288,46.76,14.59,11.67
(사)영일동물플러스,경상북도,포항시,9271,4531,1502,2041,1071,10.269550210333298,73.96181641678352,23.956423255312266,48.87,22.01,16.2
한국동물구조관리협회,경기도,포천시,8253,1478,1314,4707,593,10.61698776202593,83.99369926087483,14.818853750151458,17.91,57.03,15.92
고양시동물보호센터,경기도,고양시,8171,2232,1651,1746,1584,10.57190062415861,73.29580222738954,22.88581568963407,27.32,21.37,20.21
경주동물사랑보호센터,경상북도,경주시,7763,3227,1461,2218,709,10.595517196959937,74.12082957619477,25.016102022414017,41.57,28.57,18.82
나주유기동물보호센터,전라남도,나주시,7050,927,3872,1975,216,10.598581560283687,79.13475177304964,20.794326241134755,13.15,28.01,54.92
거제시동물보호센터,경상남도,거제시,6840,2364,2351,784,606,10.408040935672515,55.62865497076024,32.96783625730994,34.56,11.46,34.37
목포시유기동물보호소,전라남도,목포시,6836,2118,2627,433,1219,10.448946752486835,66.33996489174956,31.68519602106495,30.98,6.33,38.43
남양주동물보호협회,경기도,남양주시,6720,1987,2330,1338,946,10.554166666666667,78.16964285714286,20.416666666666668,29.57,19.91,34.67
광주동물보호센터,광주광역시,북구,6563,1612,3125,591,981,9.412159073594394,45.61938138046625,51.60749657168978,24.56,9.01,47.62
