접수년도,접수월,접수요일,동물종류,총건수,입양건수,입양률
2019,1,Friday,개,1163,365,31.38
2019,1,Friday,고양이,130,45,34.62
2019,1,Friday,기타,29,6,20.69
2019,1,Friday,기타축종,17,16,94.12
2019,1,Monday,개,1613,518,32.11
2019,1,Monday,고양이,170,70,41.18
2019,1,Monday,기타,50,26,52.0
2019,1,Monday,기타축종,11,8,72.73
2019,1,Saturday,개,463,162,34.99
2019,1,Saturday,고양이,60,24,40.0
2019,1,Saturday,기타,13,5,38.46
2019,1,Saturday,기타축종,7,5,71.43
2019,1,Sunday,개,374,137,36.63
2019,1,Sunday,고양이,57,29,50.88
2019,1,Sunday,기타,15,6,40.0
2019,1,Sunday,기타축종,11,11,100.0
2019,1,Thursday,개,1345,404,30.04
2019,1,Thursday,고양이,149,55,36.91
2019,1,Thursday,기타,32,4,12.5
2019,1,Thursday,기타축종,6,3,50.0
2019,1,Tuesday,개,1503,529,35.2
2019,1,Tuesday,고양이,158,74,46.84
2019,1,Tuesday,기타,29,10,34.48
2019,1,Tuesday,기타축종,11,7,63.64
2019,1,Wednesday,개,1540,509,33.05
2019,1,Wednesday,고양이,154,60,38.96
2019,1,Wednesday,기타,41,11,26.83
2019,1,Wednesday,기타축종,26,21,80.77
2019,2,Friday,개,1180,366,31.02
2019,2,Friday,고양이,129,43,33.33
2019,2,Friday,기타,39,15,38.46
2019,2,Friday,기타축종,5,3,60.0
2019,2,Monday,개,1462,480,32.83
2019,2,Monday,고양이,111,46,41.44
2019,2,Monday,기타,35,20,57.14
2019,2,Monday,기타축종,12,10,83.33
2019,2,Saturday,개,578,210,36.33
2019,2,Saturday,고양이,66,26,39.39
2019,2,Saturday,기타,20,5,25.0
2019,2,Saturday,기타축종,13,13,100.0
2019,2,Sunday,개,354,102,28.81
2019,2,Sunday,고양이,50,16,32.0
2019,2,Sunday,기타,17,7,41.18
2019,2,Sunday,기타축종,2,1,50.0
2019,2,Thursday,개,1272,398,31.29
2019,2,Thursday,고양이,139,47,33.81
2019,2,Thursday,기타,26,9,34.62
2019,2,Thursday,기타축종,30,27,90.0
2019,2,Tuesday,개,978,311,31.8
2019,2,Tuesday,고양이,127,59,46.46
2019,2,Tuesday,기타,23,9,39.13
2019,2,Tuesday,기타축종,15,10,66.67
2019,2,Wednesday,개,1053,327,31.05
2019,2,Wednesday,고양이,95,41,43.16
2019,2,Wednesday,기타,39,22,56.41
2019,2,Wednesday,기타축종,13,10,76.92
2019,3,Friday,개,1278,385,30.13
2019,3,Friday,고양이,169,81,47.93
2019,3,Friday,기타,48,12,25.0
2019,3,Friday,기타축종,16,11,68.75
2019,3,Monday,개,1656,547,33.03
2019,3,Monday,고양이,164,73,44.51
2019,3,Monday,기타,47,14,29.79
2019,3,Monday,기타축종,9,8,88.89
2019,3,Saturday,개,805,228,28.32
2019,3,Saturday,고양이,107,35,32.71
2019,3,Saturday,기타,32,6,18.75
2019,3,Saturday,기타축종,6,3,50.0
2019,3,Sunday,개,554,201,36.28
2019,3,Sunday,고양이,81,39,48.15
2019,3,Sunday,기타,20,12,60.0
2019,3,Sunday,기타축종,2,2,100.0
2019,3,Thursday,개,1212,350,28.88
